"breed","group","score","longevity","ailments","purchase_price","grooming","children","size","weight","height","repetition"
"Border Collie","herding",3.64,12.52,2,623,2,3,"medium",NA,51,"<5"
"Border Terrier","terrier",3.61,14,0,833,2,1,"small",6,NA,"15-25"
"Brittany","sporting",3.54,12.92,0,618,2,2,"medium",16,48,"5-15"
"Cairn Terrier","terrier",3.53,13.84,2,435,2,1,"small",6,25,"15-25"
"Welsh Springer Spaniel","sporting",3.34,12.49,1,750,2,1,"medium",NA,46,"15-25"
"English Cocker Spaniel","sporting",3.33,11.66,0,800,2,1,"medium",14,41,"5-15"
"Cocker Spaniel","sporting",3.3,12.5,2,465,2,1,"small",11,37,"5-15"
"Papillon","toy",3.26,13,5,740,2,2,"small",NA,24,"<5"
"Australian Cattle Dog","herding",3.25,11.67,1,530,2,3,"medium",NA,47,"<5"
"Shetland Sheepdog","herding",3.22,12.53,5,465,1,1,"small",10.15,37,"<5"
"Siberian Husky","working",3.22,12.58,0,650,3,1,"medium",22,55,"25-40"
"Lhasa Apso","non-sporting",3.21,13.92,1,350,2,1,"small",7,27,"40-80"
"Affenpinscher","toy",3.2,11.42,0,510,2,2,"small",NA,26,"15-25"
"Dachshund","hound",3.19,12.63,2,423,2,3,"small",11,NA,"25-40"
"Miniature Schnauzer","terrier",3.19,11.81,2,715,2,2,"small",7,33,"5-15"
"Chihuahua","toy",3.15,16.5,1,588,2,3,"small",2,13,"40-80"
"Australian Terrier","terrier",3.11,11.05,0,640,2,2,"small",NA,27,"15-25"
"Whippet","hound",3.11,12.87,0,915,2,2,"medium",NA,51,"25-40"
"English Springer Spaniel","sporting",3.09,12.54,4,615,2,1,"medium",20,50,"5-15"
"West Highland White Terrier","terrier",3.08,12.8,3,538,2,1,"small",NA,27,"25-40"
"Bedlington Terrier","terrier",3.07,13.51,2,1058,2,2,"small",9,NA,"25-40"
"Poodle","non-sporting",3.04,11.95,2,900,2,2,"medium",NA,41,"<5"
"Bichon Frise","non-sporting",3.03,12.21,0,693,1,1,"small",NA,27,"25-40"
"German Shorthaired Pointer","sporting",3.03,11.46,1,545,2,1,"large",28,61,"5-15"
"Pointer","sporting",3.03,12.42,1,294,2,1,"large",27,65,"25-40"
"Tibetan Spaniel","non-sporting",3.02,14.42,0,1050,2,1,"small",5,25,"25-40"
"Labrador Retriever","sporting",2.97,12.04,3,810,2,1,"medium",31,58,"<5"
"Maltese","toy",2.93,12.25,1,650,1,3,"small",2,23,"40-80"
"Pomeranian","toy",2.93,9.67,1,670,2,2,"small",2,NA,"5-15"
"Shih Tzu","toy",2.93,13.2,1,583,1,1,"small",6,25,"80-100"
"Australian Shepherd","herding",2.91,12.28,2,565,2,2,"medium",NA,52,"25-40"
"Yorkshire Terrier","toy",2.85,12.6,4,1057,1,3,"small",2,NA,"15-25"
"Irish Setter","sporting",2.84,11.63,2,525,2,1,"large",29,66,"15-25"
"Pharaoh Hound","hound",2.81,11.83,0,913,2,2,"medium",NA,58,"15-25"
"Brussels Griffon","toy",2.8,12,0,833,2,3,"small",4,NA,"40-80"
"Golden Retriever","sporting",2.8,12.04,4,958,2,1,"medium",27,58,"<5"
"Samoyed","working",2.8,12.44,1,1162,2,1,"medium",NA,54,"15-25"
"Beagle","hound",2.79,12.3,1,288,1,1,"small",NA,36,"80-100"
"Chesapeake Bay Retriever","sporting",2.78,9.48,1,522,2,1,"large",31,60,"15-25"
"Tibetan Terrier","non-sporting",2.75,12.31,0,1140,2,2,"small",11,39,"40-80"
"Gordon Setter","sporting",2.73,11.1,1,700,2,1,"large",28,64,"15-25"
"English Setter","sporting",2.72,11.57,2,615,2,1,"large",NA,62,"15-25"
"Pug","toy",2.72,11,1,469,2,1,"medium",7,41,"40-80"
"Briard","herding",2.71,11.17,1,650,1,1,"large",NA,62,"15-25"
"Norfolk Terrier","terrier",2.71,13.07,0,2083,2,2,"small",5,24,"40-80"
"Flat-Coated Retriever","sporting",2.7,9.02,0,600,1,1,"medium",NA,59,"5-15"
"Boston Terrier","non-sporting",2.61,10.92,1,690,2,1,"medium",NA,NA,"25-40"
"Doberman Pinscher","working",2.59,10.33,4,790,2,2,"large",NA,66,"<5"
"English Toy Spaniel","toy",2.59,10.1,0,925,2,2,"small",5,25,"25-40"
"Belgian Tervuren","herding",2.57,10.6,2,1070,2,1,"large",NA,61,"5-15"
"Cavalier King Charles Spaniel","toy",2.57,11.29,2,1017,2,1,"small",7,32,"25-40"
"Dalmatian","non-sporting",2.57,11.27,2,695,2,1,"medium",NA,53,"15-25"
"Basset Hound","hound",2.54,11.43,2,490,2,1,"small",NA,36,"80-100"
"Basenji","hound",2.51,13.58,3,940,2,2,"medium",10,42,"80-100"
"Italian Greyhound","toy",2.49,10.02,0,800,2,3,"small",NA,36,"40-80"
"Staffordshire Bull Terrier","terrier",2.48,12.05,1,1145,2,1,"medium",14,38,"25-40"
"Bouvier des Flandres","herding",2.47,10.34,1,1335,2,1,"large",NA,65,"15-25"
"Pembroke Welsh Corgi","herding",2.45,12.25,9,587,2,1,"small",12,28,"5-15"
"Clumber Spaniel","sporting",2.44,10,0,1033,2,1,"medium",32,47,"15-25"
"Dandie Dinmont Terrier","terrier",2.42,12.17,0,925,1,1,"small",10,23,"40-80"
"Saluki","hound",2.41,12,0,1525,1,1,"medium",NA,58,"25-40"
"Giant Schnauzer","working",2.38,10,1,810,1,2,"large",35,65,"15-25"
"Greyhound","hound",2.29,9.36,1,1175,2,1,"large",29,NA,"25-40"
"Scottish Terrier","terrier",2.27,10.69,1,829,1,2,"small",9,25,"40-80"
"Rottweiler","working",2.24,9.11,3,1118,2,2,"large",NA,62,"<5"
"Kerry Blue Terrier","terrier",2.13,9.4,1,1200,1,2,"medium",17,47,"15-25"
"Afghan Hound","hound",2.08,11.92,0,890,1,1,"large",25,66,"80-100"
"Newfoundland","working",2.07,9.32,2,1178,2,1,"large",57,69,"15-25"
"German Shepherd","herding",2.06,9.73,8,820,2,2,"large",NA,61,"<5"
"Pekingese","toy",2.05,11.56,1,885,1,2,"small",6,NA,"80-100"
"Old English Sheepdog","herding",2.04,11.19,1,832,1,1,"medium",NA,56,"40-80"
"Akita","working",1.95,10.16,1,1202,2,3,"large",NA,66,"25-40"
"Rhodesian Ridgeback","hound",1.91,9.1,2,995,2,2,"large",35,65,"25-40"
"French Bulldog","non-sporting",1.9,9,0,1900,2,1,"medium",12,NA,"40-80"
"Borzoi","hound",1.89,9.08,0,675,1,2,"large",37,71,"80-100"
"Bernese Mountain Dog","working",1.85,7.56,4,1320,2,1,"large",NA,64,"5-15"
"Bull Terrier","terrier",1.85,10.21,2,1085,2,2,"medium",27,55,"40-80"
"Boxer","working",1.83,8.81,4,700,2,1,"medium",NA,59,"25-40"
"Alaskan Malamute","working",1.82,10.67,2,1210,1,2,"large",36,61,"25-40"
"Chow Chow","non-sporting",1.76,9.01,2,515,1,2,"medium",NA,47,"80-100"
"Bloodhound","hound",1.66,6.75,2,608,2,2,"large",39,64,"80-100"
"Irish Wolfhound","hound",1.66,6.94,3,1333,2,1,"large",NA,81,"25-40"
"Bullmastiff","working",1.64,7.57,2,980,2,1,"large",52,65,"40-80"
"Mastiff","working",1.57,6.5,2,900,2,1,"large",79,76,"80-100"
"Great Dane","working",1.53,6.96,4,1040,2,1,"large",NA,76,"25-40"
"Saint Bernard","working",1.42,7.78,3,875,1,1,"large",70,67,"40-80"
"Bulldog","non-sporting",0.99,6.29,5,2680,2,2,"medium",20,NA,"80-100"
"Airedale Terrier","terrier",NA,11.45,1,733,NA,NA,"medium",NA,58,"15-25"
"American English Coonhound","hound",NA,11.5,NA,283,NA,NA,"large",NA,62,NA
"American Eskimo Dog","non-sporting",NA,NA,0,560,NA,NA,"small",NA,36,NA
"American Foxhound","hound",NA,NA,NA,757,NA,NA,"medium",NA,58,"25-40"
"American Staffordshire Terrier","terrier",NA,NA,1,1043,NA,NA,"medium",NA,46,"15-25"
"American Water Spaniel","sporting",NA,NA,0,730,NA,NA,"medium",16,42,"25-40"
"Anatolian Shepherd Dog","working",NA,10.75,NA,NA,2,2,"large",52,71,NA
"Bearded Collie","herding",NA,12.77,0,NA,1,1,"medium",NA,53,"15-25"
"Beauceron","herding",NA,NA,NA,967,NA,NA,"large",NA,65,NA
"Belgian Malinois","herding",NA,NA,0,1080,2,1,"large",NA,61,"5-15"
"Belgian Sheepdog","herding",NA,NA,4,NA,NA,NA,"large",NA,61,"5-15"
"Black and Tan Coonhound","hound",NA,NA,0,325,NA,NA,"large",NA,64,"25-40"
"Black Russian Terrier","working",NA,NA,0,2833,NA,NA,"large",NA,71,NA
"Bluetick Coonhound","hound",NA,NA,0,370,NA,NA,"large",28,61,NA
"Boykin Spaniel","sporting",NA,NA,NA,531,NA,NA,"medium",NA,41,NA
"Canaan Dog","herding",NA,14.67,0,NA,2,1,"medium",20,55,NA
"Cane Corso","working",NA,NA,NA,1070,NA,NA,"large",NA,64,NA
"Cardigan Welsh Corgi","herding",NA,12.7,0,828,NA,NA,"small",14,29,"5-15"
"Cesky Terrier","terrier",NA,8.42,NA,NA,2,1,"small",9,29,NA
"Chinese Crested","toy",NA,10.08,NA,538,NA,NA,"small",NA,30,"40-80"
"Chinese Shar Pei","non-sporting",NA,NA,4,840,NA,NA,"medium",24,48,"25-40"
"Collie","herding",NA,NA,2,650,NA,NA,"large",28,61,"5-15"
"Curly Coated Retriever","sporting",NA,10.75,0,NA,2,2,"large",NA,64,"25-40"
"English Foxhound","hound",NA,NA,0,NA,NA,NA,"large",NA,61,"25-40"
"Entlebucher Mountain Dog","herding",NA,NA,NA,1167,NA,NA,"medium",NA,47,NA
"Field Spaniel","sporting",NA,9.9,0,NA,1,2,"medium",NA,44,"15-25"
"Finnish Lapphund","herding",NA,7.33,NA,NA,1,1,"medium",NA,47,NA
"Finnish Spitz","non-sporting",NA,11.17,0,NA,2,1,"medium",NA,45,"25-40"
"German Pinscher","working",NA,11.42,NA,1500,NA,NA,"medium",NA,47,NA
"German Wirehaired Pointer","sporting",NA,10,1,655,NA,NA,"large",NA,61,"25-40"
"Glen of Imaal Terrier","terrier",NA,10.42,NA,NA,NA,NA,"small",16,34,NA
"Great Pyrenees","working",NA,10,1,503,NA,NA,"large",NA,72,"40-80"
"Greater Swiss Mountain Dog","working",NA,6.8,1,1605,NA,NA,"large",NA,66,NA
"Harrier","hound",NA,NA,0,NA,NA,NA,"medium",NA,51,NA
"Havanese","toy",NA,10.25,0,830,NA,NA,"small",NA,25,NA
"Ibizan Hound","hound",NA,NA,0,1500,2,1,"large",NA,64,"25-40"
"Icelandic Sheepdog","herding",NA,NA,NA,NA,NA,NA,"medium",NA,44,NA
"Irish Red and White Setter","sporting",NA,11.57,NA,1000,NA,NA,"large",NA,62,NA
"Irish Terrier","terrier",NA,NA,0,588,2,1,"medium",12,46,"25-40"
"Irish Water Spaniel","sporting",NA,9.33,1,NA,2,1,"medium",25,57,"5-15"
"Japanese Chin","toy",NA,9.25,0,513,NA,NA,"small",NA,24,"40-80"
"Keeshond","non-sporting",NA,12.17,1,610,NA,NA,"medium",NA,44,"5-15"
"Komondor","working",NA,9.17,1,656,NA,NA,"large",45,70,NA
"Kuvasz","working",NA,NA,1,NA,NA,NA,"large",42,71,"25-40"
"Lakeland Terrier","terrier",NA,NA,0,1093,2,1,"small",8,37,"40-80"
"Leonberger","working",NA,6.98,NA,1480,2,1,"large",NA,72,NA
"L̦wchen","non-sporting",NA,10,0,NA,NA,NA,"small",NA,33,NA
"Manchester Terrier","terrier",NA,9.32,0,720,NA,NA,"small",8,NA,"15-25"
"Miniature Bull Terrier","terrier",NA,6.6,0,1740,NA,NA,"small",NA,30,NA
"Miniature Pinscher","toy",NA,NA,0,535,NA,NA,"small",NA,29,"15-25"
"Neapolitan Mastiff","working",NA,NA,1,1760,2,1,"large",59,70,NA
"Norwegian Buhund","herding",NA,12.67,NA,NA,NA,NA,"medium",15,44,NA
"Norwegian Elkhound","hound",NA,NA,1,448,NA,NA,"medium",23,51,"15-25"
"Norwegian Lundehund","non-sporting",NA,NA,NA,NA,NA,NA,"small",NA,34,NA
"Norwich Terrier","terrier",NA,NA,0,1245,2,2,"small",5,25,"15-25"
"Nova Scotia Duck Tolling Retriever","sporting",NA,6.5,1,1500,2,1,"medium",NA,48,NA
"Otterhound","hound",NA,10.8,1,NA,2,1,"large",44,65,"25-40"
"Parson Russell Terrier","terrier",NA,NA,0,528,2,2,"small",7,34,NA
"Petit Basset Griffon Vendeen","hound",NA,12.7,0,400,NA,NA,"small",NA,36,"40-80"
"Plott","hound",NA,NA,0,NA,NA,NA,"medium",23,57,NA
"Polish Lowland Sheepdog","herding",NA,10.8,NA,NA,2,2,"medium",NA,47,NA
"Portuguese Water Dog","working",NA,11.42,0,NA,NA,NA,"medium",22,51,NA
"Puli","herding",NA,NA,0,913,NA,NA,"medium",NA,42,"15-25"
"Pyrenean Shepherd","herding",NA,NA,NA,NA,NA,NA,"medium",NA,46,NA
"Redbone Coonhound","hound",NA,NA,0,425,NA,NA,"large",NA,61,NA
"Schipperke","non-sporting",NA,13,4,658,NA,NA,"small",NA,29,"5-15"
"Scottish Deerhound","hound",NA,8.7,2,NA,NA,NA,"large",42,NA,"25-40"
"Sealyham Terrier","terrier",NA,12.25,1,NA,NA,NA,"small",11,27,"40-80"
"Shiba Inu","non-sporting",NA,7,1,890,NA,NA,"small",9,38,NA
"Silky Terrier","toy",NA,14.25,0,448,NA,NA,"small",5,24,"15-25"
"Skye Terrier","terrier",NA,11,0,550,NA,NA,"small",18,25,"40-80"
"Smooth Fox Terrier","terrier",NA,13.17,0,575,NA,NA,"small",8,38,"25-40"
"Soft-Coated Wheaten Terrier","terrier",NA,12.16,0,832,NA,NA,"medium",16,46,"25-40"
"Spinone Italiano","sporting",NA,9,NA,1725,NA,NA,"large",NA,62,NA
"Standard Schnauzer","working",NA,NA,1,855,NA,NA,"medium",NA,47,"5-15"
"Sussex Spaniel","sporting",NA,11.17,0,NA,2,3,"small",18,36,NA
"Swedish Vallhund","herding",NA,14.17,NA,772,2,1,"small",NA,32,NA
"Tibetan Mastiff","working",NA,11.92,NA,3460,2,1,"large",NA,64,NA
"Toy Fox Terrier","toy",NA,NA,NA,460,NA,NA,"small",NA,25,NA
"Vizsla","sporting",NA,12.5,0,935,NA,NA,"medium",NA,57,"5-15"
"Weimaraner","sporting",NA,NA,1,562,2,1,"large",NA,64,"5-15"
"Welsh Terrier","terrier",NA,NA,0,843,2,1,"small",9,38,"25-40"
"Wire Fox Terrier","terrier",NA,13.17,0,668,NA,NA,"small",8,38,"25-40"
"Wirehaired Pointing Griffon","sporting",NA,8.8,0,755,NA,NA,"medium",NA,56,"25-40"
"Xoloitzcuintli","non-sporting",NA,NA,NA,717,NA,NA,"medium",NA,42,NA
