"breed","group","datadog","popularity_all","popularity","lifetime_cost","intelligence_rank","longevity","ailments","price","food_cost","grooming","kids","megarank_kids","megarank","size","weight","height"
"Border Collie","herding",3.64,45,39,20143,1,12.52,2,623,324,"weekly","low",1,29,"medium",NA,20
"Border Terrier","terrier",3.61,80,61,22638,30,14,0,833,324,"weekly","high",2,1,"small",13.5,NA
"Brittany","sporting",3.54,30,30,22589,19,12.92,0,618,466,"weekly","medium",3,11,"medium",35,19
"Cairn Terrier","terrier",3.53,59,48,21992,35,13.84,2,435,324,"weekly","high",4,2,"small",14,10
"Welsh Springer Spaniel","sporting",3.34,130,81,20224,31,12.49,1,750,324,"weekly","high",5,4,"medium",NA,18
"English Cocker Spaniel","sporting",3.33,63,51,18993,18,11.66,0,800,324,"weekly","high",6,5,"medium",30,16
"Cocker Spaniel","sporting",3.3,27,27,24330,20,12.5,2,465,674,"weekly","high",7,6,"small",25,14.5
"Papillon","toy",3.26,38,33,21001,8,13,5,740,324,"weekly","medium",8,22,"small",NA,9.5
"Australian Cattle Dog","herding",3.25,60,49,20395,10,11.67,1,530,466,"weekly","low",9,52,"medium",NA,18.5
"Shetland Sheepdog","herding",3.22,20,20,21006,6,12.53,5,465,405,"daily","high",11,8,"small",22,14.5
"Siberian Husky","working",3.22,16,16,22049,45,12.58,0,650,466,"monthly","high",10,3,"medium",47.5,21.75
"Lhasa Apso","non-sporting",3.21,62,50,22031,68,13.92,1,350,324,"weekly","high",12,7,"small",15,10.5
"Affenpinscher","toy",3.2,139,84,18333,37,11.42,0,510,324,"weekly","medium",13,26,"small",NA,10.25
"Dachshund","hound",3.19,9,9,20113,49,12.63,2,423,324,"weekly","low",14,54,"small",24,NA
"Miniature Schnauzer","terrier",3.19,12,12,20087,12,11.81,2,715,405,"weekly","medium",14,27,"small",15.5,13
"Chihuahua","toy",3.15,14,14,26250,67,16.5,1,588,324,"weekly","low",16,55,"small",5.5,5
"Australian Terrier","terrier",3.11,121,77,17892,34,11.05,0,640,324,"weekly","medium",17,30,"small",NA,10.5
"Whippet","hound",3.11,57,46,20976,51,12.87,0,915,324,"weekly","medium",17,30,"medium",NA,20
"English Springer Spaniel","sporting",3.09,29,29,21946,13,12.54,4,615,466,"weekly","high",19,9,"medium",45,19.5
"West Highland White Terrier","terrier",3.08,35,32,20490,47,12.8,3,538,324,"weekly","high",20,10,"small",NA,10.5
"Bedlington Terrier","terrier",3.07,134,83,22107,40,13.51,2,1058,324,"weekly","medium",21,35,"small",20,NA
"Poodle","non-sporting",3.04,8,8,21237,2,11.95,2,900,466,"weekly","medium",22,39,"medium",NA,16
"Bichon Frise","non-sporting",3.03,39,34,19735,45,12.21,0,693,324,"daily","high",25,16,"small",NA,10.5
"German Shorthaired Pointer","sporting",3.03,15,15,25842,17,11.46,1,545,971,"weekly","high",23,12,"large",62.5,24
"Pointer","sporting",3.03,115,74,24445,43,12.42,1,294,710,"weekly","high",24,13,"large",59.5,25.5
"Tibetan Spaniel","non-sporting",3.02,114,73,25549,46,14.42,0,1050,466,"weekly","high",26,14,"small",12,10
"Labrador Retriever","sporting",2.97,1,1,21299,7,12.04,3,810,466,"weekly","high",27,15,"medium",67.5,23
"Maltese","toy",2.93,23,23,19084,59,12.25,1,650,270,"daily","low",29,65,"small",5,9
"Pomeranian","toy",2.93,17,17,15792,23,9.67,1,670,324,"weekly","medium",28,45,"small",5,NA
"Shih Tzu","toy",2.93,11,11,21152,70,13.2,1,583,324,"daily","high",29,19,"small",12.5,9.75
"Australian Shepherd","herding",2.91,24,24,21458,42,12.28,2,565,466,"weekly","medium",31,46,"medium",NA,20.5
"Yorkshire Terrier","toy",2.85,5,5,20701,27,12.6,4,1057,324,"daily","low",32,69,"small",5.5,NA
"Irish Setter","sporting",2.84,70,56,20323,35,11.63,2,525,466,"weekly","high",33,17,"large",65,26
"Pharaoh Hound","hound",2.81,151,86,21047,37,11.83,0,913,466,"weekly","medium",34,47,"medium",NA,23
"Brussels Griffon","toy",2.8,77,59,19551,59,12,0,833,324,"weekly","low",36,66,"small",9,NA
"Golden Retriever","sporting",2.8,4,4,21447,4,12.04,4,958,466,"weekly","high",37,20,"medium",60,22.75
"Samoyed","working",2.8,69,55,25352,33,12.44,1,1162,710,"weekly","high",35,18,"medium",NA,21.25
"Beagle","hound",2.79,3,3,19468,73,12.3,1,288,324,"daily","high",38,28,"small",NA,14
"Chesapeake Bay Retriever","sporting",2.78,46,40,16697,27,9.48,1,522,466,"weekly","high",39,21,"large",67.5,23.5
"Tibetan Terrier","non-sporting",2.75,86,64,20336,62,12.31,0,1140,324,"weekly","medium",40,51,"small",24,15.5
"Gordon Setter","sporting",2.73,94,69,19605,34,11.1,1,700,466,"weekly","high",41,23,"large",62.5,25
"English Setter","sporting",2.72,87,65,20312,37,11.57,2,615,466,"weekly","high",43,25,"large",NA,24.5
"Pug","toy",2.72,26,26,18527,57,11,1,469,405,"weekly","high",42,24,"medium",16,16
"Briard","herding",2.71,125,79,19673,30,11.17,1,650,466,"daily","high",44,33,"large",NA,24.5
"Norfolk Terrier","terrier",2.71,120,76,24308,56,13.07,0,2083,466,"weekly","medium",45,53,"small",12,9.5
"Flat-Coated Retriever","sporting",2.7,90,67,16000,18,9.02,0,600,466,"daily","high",46,34,"medium",NA,23.25
"Boston Terrier","non-sporting",2.61,22,22,17741,54,10.92,1,690,324,"weekly","high",47,32,"medium",NA,NA
"Doberman Pinscher","working",2.59,13,13,18397,5,10.33,4,790,466,"weekly","medium",49,57,"large",NA,26
"English Toy Spaniel","toy",2.59,129,80,17521,45,10.1,0,925,405,"weekly","medium",48,56,"small",11,10
"Belgian Tervuren","herding",2.57,108,72,19132,14,10.6,2,1070,466,"weekly","high",52,38,"large",NA,24
"Cavalier King Charles Spaniel","toy",2.57,21,21,18639,44,11.29,2,1017,324,"weekly","high",50,35,"small",15.5,12.5
"Dalmatian","non-sporting",2.57,73,57,19886,39,11.27,2,695,466,"weekly","high",50,35,"medium",NA,21
"Basset Hound","hound",2.54,41,36,18328,71,11.43,2,490,324,"weekly","high",53,39,"small",NA,14
"Basenji","hound",2.51,93,68,22096,79,13.58,3,940,324,"weekly","medium",54,59,"medium",23,16.5
"Italian Greyhound","toy",2.49,65,53,16463,60,10.02,0,800,324,"weekly","low",55,77,"small",NA,14
"Staffordshire Bull Terrier","terrier",2.48,76,58,21650,49,12.05,1,1145,466,"weekly","high",56,41,"medium",31,15
"Bouvier des Flandres","herding",2.47,83,62,18959,29,10.34,1,1335,466,"weekly","high",57,42,"large",NA,25.5
"Pembroke Welsh Corgi","herding",2.45,25,25,23978,11,12.25,9,587,674,"weekly","high",58,43,"small",26,11
"Clumber Spaniel","sporting",2.44,133,82,18084,37,10,0,1033,466,"weekly","high",59,44,"medium",70,18.5
"Dandie Dinmont Terrier","terrier",2.42,160,87,21633,62,12.17,0,925,466,"daily","high",60,49,"small",21,9
"Saluki","hound",2.41,117,75,24866,43,12,0,1525,710,"daily","high",61,50,"medium",NA,23
"Giant Schnauzer","working",2.38,95,70,26686,28,10,1,810,1349,"daily","medium",62,67,"large",77.5,25.5
"Greyhound","hound",2.29,140,85,15819,46,9.36,1,1175,324,"weekly","high",63,48,"large",65,NA
"Scottish Terrier","terrier",2.27,54,45,17525,65,10.69,1,829,324,"daily","medium",64,71,"small",20,10
"Rottweiler","working",2.24,10,10,18886,9,9.11,3,1118,710,"weekly","medium",65,68,"large",NA,24.5
"Kerry Blue Terrier","terrier",2.13,124,78,17240,35,9.4,1,1200,466,"daily","medium",66,76,"medium",36.5,18.5
"Afghan Hound","hound",2.08,88,66,24077,80,11.92,0,890,710,"daily","high",67,60,"large",55,26
"Newfoundland","working",2.07,43,37,19351,34,9.32,2,1178,710,"weekly","high",68,58,"large",125,27
"German Shepherd","herding",2.06,2,2,17416,3,9.73,8,820,466,"weekly","medium",69,74,"large",NA,24
"Pekingese","toy",2.05,64,52,20565,74,11.56,1,885,466,"daily","medium",70,78,"small",13,NA
"Old English Sheepdog","herding",2.04,84,63,22611,63,11.19,1,832,710,"daily","high",71,61,"medium",NA,22
"Akita","working",1.95,47,41,20994,54,10.16,1,1202,710,"weekly","low",72,86,"large",NA,26
"Rhodesian Ridgeback","hound",1.91,44,38,16530,52,9.1,2,995,466,"weekly","medium",73,79,"large",77.5,25.5
"French Bulldog","non-sporting",1.9,18,18,17266,58,9,0,1900,466,"weekly","high",74,62,"medium",27,NA
"Borzoi","hound",1.89,102,71,16176,76,9.08,0,675,466,"daily","medium",75,82,"large",82.5,28
"Bernese Mountain Dog","working",1.85,34,31,16099,22,7.56,4,1320,710,"weekly","high",76,63,"large",NA,25.25
"Bull Terrier","terrier",1.85,51,44,18490,66,10.21,2,1085,466,"weekly","medium",77,80,"medium",60,21.5
"Boxer","working",1.83,7,7,15746,48,8.81,4,700,466,"weekly","high",78,64,"medium",NA,23.25
"Alaskan Malamute","working",1.82,58,47,21986,50,10.67,2,1210,710,"daily","medium",79,83,"large",80,24
"Chow Chow","non-sporting",1.76,68,54,15898,77,9.01,2,515,466,"daily","medium",80,85,"medium",NA,18.5
"Bloodhound","hound",1.66,48,42,13824,75,6.75,2,608,710,"weekly","medium",81,84,"large",85,25
"Irish Wolfhound","hound",1.66,79,60,18435,41,6.94,3,1333,1217,"weekly","high",82,70,"large",NA,32
"Bullmastiff","working",1.64,40,35,13936,69,7.57,2,980,466,"weekly","high",83,72,"large",115,25.5
"Mastiff","working",1.57,28,28,13581,72,6.5,2,900,701,"weekly","high",84,73,"large",175,30
"Great Dane","working",1.53,19,19,14662,48,6.96,4,1040,710,"weekly","high",85,75,"large",NA,30
"Saint Bernard","working",1.42,49,43,20022,65,7.78,3,875,1217,"daily","high",86,81,"large",155,26.5
"Bulldog","non-sporting",0.99,6,6,13479,78,6.29,5,2680,466,"weekly","medium",87,87,"medium",45,NA
"Airedale Terrier","terrier",NA,55,NA,NA,29,11.45,1,733,NA,NA,NA,NA,NA,"medium",NA,23
"American English Coonhound","hound",NA,33,NA,NA,NA,11.5,NA,283,NA,NA,NA,NA,NA,"large",NA,24.5
"American Eskimo Dog","non-sporting",NA,116,NA,NA,NA,NA,0,560,NA,NA,NA,NA,NA,"small",NA,14
"American Foxhound","hound",NA,173,NA,NA,46,NA,NA,757,NA,NA,NA,NA,NA,"medium",NA,23
"American Staffordshire Terrier","terrier",NA,72,NA,NA,34,NA,1,1043,NA,NA,NA,NA,NA,"medium",NA,18
"American Water Spaniel","sporting",NA,157,NA,NA,44,NA,0,730,NA,NA,NA,NA,NA,"medium",35,16.5
"Anatolian Shepherd Dog","working",NA,111,NA,NA,NA,10.75,NA,NA,NA,"weekly","medium",NA,NA,"large",115,28
"Bearded Collie","herding",NA,112,NA,NA,34,12.77,0,NA,NA,"daily","high",NA,NA,"medium",NA,21
"Beauceron","herding",NA,144,NA,NA,NA,NA,NA,967,NA,NA,NA,NA,NA,"large",NA,25.75
"Belgian Malinois","herding",NA,74,NA,NA,22,NA,0,1080,NA,"weekly","high",NA,NA,"large",NA,24
"Belgian Sheepdog","herding",NA,118,NA,NA,15,NA,4,NA,NA,NA,NA,NA,NA,"large",NA,24
"Black and Tan Coonhound","hound",NA,109,NA,NA,44,NA,0,325,NA,NA,NA,NA,NA,"large",NA,25
"Black Russian Terrier","working",NA,128,NA,NA,NA,NA,0,2833,NA,NA,NA,NA,NA,"large",NA,28
"Bluetick Coonhound","hound",NA,136,NA,NA,NA,NA,0,370,NA,NA,NA,NA,NA,"large",62.5,24
"Boykin Spaniel","sporting",NA,138,NA,NA,NA,NA,NA,531,NA,NA,NA,NA,NA,"medium",NA,16
"Canaan Dog","herding",NA,168,NA,NA,NA,14.67,0,NA,NA,"weekly","high",NA,NA,"medium",45,21.5
"Cane Corso","working",NA,67,NA,NA,NA,NA,NA,1070,NA,NA,NA,NA,NA,"large",NA,25
"Cardigan Welsh Corgi","herding",NA,81,NA,NA,26,12.7,0,828,NA,NA,NA,NA,NA,"small",31.5,11.5
"Cesky Terrier","terrier",NA,106,NA,NA,NA,8.42,NA,NA,NA,"weekly","high",NA,NA,"small",19,11.5
"Chinese Crested","toy",NA,61,NA,NA,61,10.08,NA,538,NA,NA,NA,NA,NA,"small",NA,12
"Chinese Shar Pei","non-sporting",NA,50,NA,NA,51,NA,4,840,NA,NA,NA,NA,NA,"medium",52.5,19
"Collie","herding",NA,36,NA,NA,16,NA,2,650,NA,NA,NA,NA,NA,"large",62.5,24
"Curly Coated Retriever","sporting",NA,154,NA,NA,41,10.75,0,NA,NA,"weekly","medium",NA,NA,"large",NA,25
"English Foxhound","hound",NA,171,NA,NA,46,NA,0,NA,NA,NA,NA,NA,NA,"large",NA,24
"Entlebucher Mountain Dog","herding",NA,146,NA,NA,NA,NA,NA,1167,NA,NA,NA,NA,NA,"medium",NA,18.5
"Field Spaniel","sporting",NA,141,NA,NA,34,9.9,0,NA,NA,"daily","medium",NA,NA,"medium",NA,17.5
"Finnish Lapphund","herding",NA,104,NA,NA,NA,7.33,NA,NA,NA,"daily","high",NA,NA,"medium",NA,18.5
"Finnish Spitz","non-sporting",NA,167,NA,NA,43,11.17,0,NA,NA,"weekly","high",NA,NA,"medium",NA,17.75
"German Pinscher","working",NA,137,NA,NA,NA,11.42,NA,1500,NA,NA,NA,NA,NA,"medium",NA,18.5
"German Wirehaired Pointer","sporting",NA,75,NA,NA,44,10,1,655,NA,NA,NA,NA,NA,"large",NA,24
"Glen of Imaal Terrier","terrier",NA,158,NA,NA,NA,10.42,NA,NA,NA,NA,NA,NA,NA,"small",35,13.25
"Great Pyrenees","working",NA,71,NA,NA,64,10,1,503,NA,NA,NA,NA,NA,"large",NA,28.5
"Greater Swiss Mountain Dog","working",NA,82,NA,NA,NA,6.8,1,1605,NA,NA,NA,NA,NA,"large",NA,26
"Harrier","hound",NA,172,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"medium",NA,20
"Havanese","toy",NA,31,NA,NA,NA,10.25,0,830,NA,NA,NA,NA,NA,"small",NA,9.75
"Ibizan Hound","hound",NA,149,NA,NA,53,NA,0,1500,NA,"weekly","high",NA,NA,"large",NA,25
"Icelandic Sheepdog","herding",NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,17.25
"Irish Red and White Setter","sporting",NA,147,NA,NA,NA,11.57,NA,1000,NA,NA,NA,NA,NA,"large",NA,24.25
"Irish Terrier","terrier",NA,132,NA,NA,53,NA,0,588,NA,"weekly","high",NA,NA,"medium",26,18
"Irish Water Spaniel","sporting",NA,150,NA,NA,24,9.33,1,NA,NA,"weekly","high",NA,NA,"medium",55,22.5
"Japanese Chin","toy",NA,78,NA,NA,62,9.25,0,513,NA,NA,NA,NA,NA,"small",NA,9.5
"Keeshond","non-sporting",NA,98,NA,NA,16,12.17,1,610,NA,NA,NA,NA,NA,"medium",NA,17.5
"Komondor","working",NA,166,NA,NA,NA,9.17,1,656,NA,NA,NA,NA,NA,"large",100,27.5
"Kuvasz","working",NA,148,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA,"large",92.5,28
"Lakeland Terrier","terrier",NA,135,NA,NA,62,NA,0,1093,NA,"weekly","high",NA,NA,"small",17,14.5
"Leonberger","working",NA,103,NA,15141,NA,6.98,NA,1480,NA,"weekly","high",NA,NA,"large",NA,28.5
"L̦wchen","non-sporting",NA,152,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,"small",NA,13
"Manchester Terrier","terrier",NA,119,NA,NA,32,9.32,0,720,NA,NA,NA,NA,NA,"small",17,NA
"Miniature Bull Terrier","terrier",NA,127,NA,NA,NA,6.6,0,1740,NA,NA,NA,NA,NA,"small",NA,12
"Miniature Pinscher","toy",NA,42,NA,NA,37,NA,0,535,NA,NA,NA,NA,NA,"small",NA,11.25
"Neapolitan Mastiff","working",NA,110,NA,NA,NA,NA,1,1760,NA,"weekly","high",NA,NA,"large",130,27.5
"Norwegian Buhund","herding",NA,165,NA,NA,NA,12.67,NA,NA,NA,NA,NA,NA,NA,"medium",33,17.25
"Norwegian Elkhound","hound",NA,96,NA,NA,36,NA,1,448,NA,NA,NA,NA,NA,"medium",51.5,20
"Norwegian Lundehund","non-sporting",NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small",NA,13.5
"Norwich Terrier","terrier",NA,89,NA,NA,38,NA,0,1245,NA,"weekly","medium",NA,NA,"small",12,10
"Nova Scotia Duck Tolling Retriever","sporting",NA,107,NA,12653,NA,6.5,1,1500,NA,"weekly","high",NA,NA,"medium",NA,19
"Otterhound","hound",NA,169,NA,NA,46,10.8,1,NA,NA,"weekly","high",NA,NA,"large",97.5,25.5
"Parson Russell Terrier","terrier",NA,97,NA,NA,NA,NA,0,528,NA,"weekly","medium",NA,NA,"small",15,13.5
"Petit Basset Griffon Vendeen","hound",NA,131,NA,NA,62,12.7,0,400,NA,NA,NA,NA,NA,"small",NA,14
"Plott","hound",NA,145,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"medium",50,22.5
"Polish Lowland Sheepdog","herding",NA,159,NA,NA,NA,10.8,NA,NA,NA,"weekly","medium",NA,NA,"medium",NA,18.5
"Portuguese Water Dog","working",NA,56,NA,NA,NA,11.42,0,NA,NA,NA,NA,NA,NA,"medium",47.5,20
"Puli","herding",NA,156,NA,NA,27,NA,0,913,NA,NA,NA,NA,NA,"medium",NA,16.5
"Pyrenean Shepherd","herding",NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,18
"Redbone Coonhound","hound",NA,126,NA,NA,NA,NA,0,425,NA,NA,NA,NA,NA,"large",NA,24
"Schipperke","non-sporting",NA,105,NA,NA,15,13,4,658,NA,NA,NA,NA,NA,"small",NA,11.5
"Scottish Deerhound","hound",NA,142,NA,NA,47,8.7,2,NA,NA,NA,NA,NA,NA,"large",92.5,NA
"Sealyham Terrier","terrier",NA,163,NA,NA,56,12.25,1,NA,NA,NA,NA,NA,NA,"small",24,10.5
"Shiba Inu","non-sporting",NA,53,NA,NA,NA,7,1,890,NA,NA,NA,NA,NA,"small",20,15
"Silky Terrier","toy",NA,85,NA,NA,37,14.25,0,448,NA,NA,NA,NA,NA,"small",10,9.5
"Skye Terrier","terrier",NA,164,NA,NA,55,11,0,550,NA,NA,NA,NA,NA,"small",40,9.75
"Smooth Fox Terrier","terrier",NA,113,NA,NA,40,13.17,0,575,NA,NA,NA,NA,NA,"small",17.5,15
"Soft-Coated Wheaten Terrier","terrier",NA,52,NA,NA,40,12.16,0,832,NA,NA,NA,NA,NA,"medium",35,18
"Spinone Italiano","sporting",NA,123,NA,NA,NA,9,NA,1725,NA,NA,NA,NA,NA,"large",NA,24.5
"Standard Schnauzer","working",NA,91,NA,NA,18,NA,1,855,NA,NA,NA,NA,NA,"medium",NA,18.5
"Sussex Spaniel","sporting",NA,161,NA,NA,NA,11.17,0,NA,NA,"weekly","low",NA,NA,"small",40,14
"Swedish Vallhund","herding",NA,153,NA,22839,NA,14.17,NA,772,NA,"weekly","high",NA,NA,"small",NA,12.5
"Tibetan Mastiff","working",NA,122,NA,23747,NA,11.92,NA,3460,NA,"weekly","high",NA,NA,"large",NA,25
"Toy Fox Terrier","toy",NA,101,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,"small",NA,10
"Vizsla","sporting",NA,37,NA,NA,25,12.5,0,935,NA,NA,NA,NA,NA,"medium",NA,22.5
"Weimaraner","sporting",NA,32,NA,NA,21,NA,1,562,NA,"weekly","high",NA,NA,"large",NA,25
"Welsh Terrier","terrier",NA,99,NA,NA,53,NA,0,843,NA,"weekly","high",NA,NA,"small",20,15
"Wire Fox Terrier","terrier",NA,100,NA,NA,51,13.17,0,668,NA,NA,NA,NA,NA,"small",17.5,15
"Wirehaired Pointing Griffon","sporting",NA,92,NA,NA,46,8.8,0,755,NA,NA,NA,NA,NA,"medium",NA,22
"Xoloitzcuintli","non-sporting",NA,155,NA,NA,NA,NA,NA,717,NA,NA,NA,NA,NA,"medium",NA,16.5
