State,Motto,Translation,Language,Date Adopted
Alabama,Audemus jura nostra defendere,We dare defend our rights!,Latin,1923
Alaska,North to the future,—,English,1967
Arizona,Ditat Deus,God enriches,Latin,1863
Arkansas,Regnat populus,The people rule,Latin,1907
California,Eureka (Εὕρηκα),I have found it,Greek,1849
Colorado,Nil sine numine,Nothing without providence.,Latin,"November 6, 1861"
Connecticut,Qui transtulit sustinet,He who transplanted sustains,Latin,"October 9, 1662"
Delaware,Liberty and Independence,—,English,1847
Florida,In God We Trust,—,English,1868
Georgia,"Wisdom, Justice, Moderation",—,English,1798
Hawaii,Ua mau ke ea o ka ʻāina i ka pono,The life of the land is perpetuated in righteousness.,Hawaiian,"July 31, 1843"
Idaho,Esto perpetua,Let it be perpetual,Latin,1890
Illinois,"State sovereignty, national union",—,English,1819
Indiana,The Crossroads of America,—,English,1937
Iowa,Our liberties we prize and our rights we will maintain,—,English,1847
Kansas,Ad astra per aspera,To the stars through difficulties,Latin,1861
Kentucky,Deo gratiam habeamus,Let us be grateful to God,Latin,2002
Louisiana,"Union, justice, confidence",—,English,1902
Maine,Dirigo,I lead,Latin,1820
Maryland,"Fatti maschii, parole femine","Manly deeds, womanly words",Italian,1874
Massachusetts,Ense petit placidam sub libertate quietem,"By the sword we seek peace, but peace only under liberty",Latin,1775
Michigan,Si quaeris peninsulam amoenam circumspice,"If you seek a pleasant peninsula, look about you",Latin,"June 2, 1835"
Minnesota,L'étoile du Nord,The star of the North,French,1861
Mississippi,Virtute et armis,By valor and arms,Latin,"February 7, 1894"
Missouri,Salus populi suprema lex esto,Let the welfare of the people be the supreme law,Latin,"January 11, 1822"
Montana,Oro y plata,Gold and silver,Spanish,"February 9, 1865"
Nebraska,Equality before the law,—,English,1867
Nevada,All For Our Country,—,English,"February 24, 1866"
New Hampshire,Live Free or Die,—,English,1945
New Jersey,Liberty and prosperity,—,English,"March 26, 1928"
New Mexico,Crescit eundo,It grows as it goes,Latin,1887
New York,Excelsior,Ever upward,Latin,1778
North Carolina,Esse quam videri,"To be, rather than to seem",Latin,1893
North Dakota,"
Serit ut alteri saeclo prosit",One sows for the benefit of another age,Latin,"March 11, 2011"
Ohio,"With God, all things are possible",—,English,"October 1, 1959"
Oklahoma,Labor omnia vincit,Labor conquers all things,Latin,"March 10, 1893"
Oregon,Alis volat propriis,She flies with her own wings,Latin,1854
Pennsylvania,"Virtue, liberty, and independence",—,English,1875
Rhode Island,Hope,—,English,"May 4, 1664"
South Carolina,"Dum spiro spero 
Animis opibusque parati","While I breathe, I hope 
Ready in soul and resource",Latin,"May 22, 1777"
South Dakota,Under God the people rule,—,English,1885
Tennessee,Agriculture and Commerce,—,English,"May 24, 1802"
Texas,Friendship,—,English,1930
Utah,Industry,,English,"May 3, 1896"
Vermont,Stella quarta decima fulgeat,May the fourteenth star shine bright,Latin,"April 10, 2015"
Virginia,Sic semper tyrannis,Thus always to tyrants,Latin,1776
Washington,Al-ki or Alki,By and by,Chinook Jargon,—
West Virginia,Montani semper liberi,Mountaineers are always free,Latin,"September 26, 1863"
Wisconsin,Forward,—,English,1851
Wyoming,Equal Rights,—,English,1893